Scale,Item,Theme Label,Question,N,Mean,SD,1,2,3,4,5,Negative % (1-2),Neutral % (3),Positive % (4-5),Rating_1_pct,Rating_2_pct,Rating_3_pct,Rating_4_pct,Rating_5_pct
B,B1,Turning to AI unconsciously,"When programming, even for tasks I can easily complete on my own, I still unconsciously turn to generative AI tools to generate code.",40,3.95,1.011,0,5,6,15,14,0.125,0.15,0.725,0.0,0.125,0.15,0.375,0.35
B,B2,Asking AI before trying,"When encountering programming problems, I first turn to generative AI rather than attempting to think independently or consult documentation.",40,3.85,1.001,0,6,5,18,11,0.15,0.125,0.725,0.0,0.15,0.125,0.45,0.275
B,B3,Switching to another AI tool,"When the suggestions provided by one generative AI tool fail to resolve a programming problem immediately, I switch to another generative AI tool to continue programming.",40,3.85,1.292,3,5,3,13,16,0.2,0.075,0.725,0.075,0.125,0.075,0.325,0.4
B,B4,Relying on AI for debugging,"When code generated by a generative AI tool contains errors, I am more inclined to rely on another generative AI tool for debugging rather than analyzing the code line by line myself.",40,3.9,1.128,2,3,6,15,14,0.125,0.15,0.725,0.05,0.075,0.15,0.375,0.35
B,B5,Concerned about AI use,My use of generative AI has caused concerns for me.,40,3.175,1.375,6,8,7,11,8,0.35,0.175,0.475,0.15,0.2,0.175,0.275,0.2
B,B6,Hard to work without AI,I have trouble completing work or other responsibilities without generative AI.,40,3.825,1.196,3,2,8,13,14,0.125,0.2,0.675,0.075,0.05,0.2,0.325,0.35
B,B7,Less confident without AI,I feel less confident in my abilities without generative AI.,40,3.7,1.324,3,6,6,10,15,0.225,0.15,0.625,0.075,0.15,0.15,0.25,0.375
B,B8,Reduced problem-solving ability,My use of generative AI has negatively affected my problem-solving skills or efficiency.,40,2.675,1.118,6,13,11,8,2,0.475,0.275,0.25,0.15,0.325,0.275,0.2,0.05
C,C1.1,Efficiency,AI tools help me to learn programming more efficiently.,40,4.2,0.853,0,3,2,19,16,0.075,0.05,0.875,0.0,0.075,0.05,0.475,0.4
C,C1.2,Improved performance,AI tools improve my programming performance.,40,4.4,0.841,0,2,3,12,23,0.05,0.075,0.875,0.0,0.05,0.075,0.3,0.575
C,C1.3,Effective learning,AI tools make my learning more effective.,40,4.325,0.694,0,1,2,20,17,0.025,0.05,0.925,0.0,0.025,0.05,0.5,0.425
C,C1.4,Easier learning,AI tools make it easier to learn programming.,40,4.35,0.834,0,2,3,14,21,0.05,0.075,0.875,0.0,0.05,0.075,0.35,0.525
C,C1.5,Overall benefit,"Overall, AI tools are advantageous for my programming learning.",40,4.325,0.73,0,1,3,18,18,0.025,0.075,0.9,0.0,0.025,0.075,0.45,0.45
C,C2.1,Undermines education value,Using generative AI technologies such as AI tools to complete assignments undermines the value of a university education.,40,2.8,1.285,6,14,7,8,5,0.5,0.175,0.325,0.15,0.35,0.175,0.2,0.125
C,C2.2,Limits social interaction,Generative AI technologies such as AI tools will limit my opportunities to interact with others and socialize while completing coursework.,40,2.35,1.145,10,15,8,5,2,0.625,0.2,0.175,0.25,0.375,0.2,0.125,0.05
C,C2.3,Hinders skill development,"Generative AI technologies such as AI tools will hinder my development of generic or transferable skills such as teamwork, problem-solving, and leadership skills.",40,2.25,1.056,10,17,7,5,1,0.675,0.175,0.15,0.25,0.425,0.175,0.125,0.025
C,C2.4,Over-reliance,I can become over-reliant on generative AI technologies.,40,4.05,0.846,0,2,7,18,13,0.05,0.175,0.775,0.0,0.05,0.175,0.45,0.325
C,C3.1,Helpfulness,Are AI tools helpful for learning programming?,40,4.4,0.841,1,0,3,14,22,0.025,0.075,0.9,0.025,0.0,0.075,0.35,0.55
C,C3.2,Continued use,Will you keep using AI tools for learning programming?,40,4.45,0.677,0,0,4,14,22,0.0,0.1,0.9,0.0,0.0,0.1,0.35,0.55
C,C3.3,Frequent use,Will you use AI tools often?,40,4.575,0.636,0,0,3,11,26,0.0,0.075,0.925,0.0,0.0,0.075,0.275,0.65
C,C3.4,Recommendation,Will you recommend AI tools to friends?,40,4.6,0.672,0,1,1,11,27,0.025,0.025,0.95,0.0,0.025,0.025,0.275,0.675
C,C4.1,Correct code,Correct programming code,40,4.375,0.807,0,2,2,15,21,0.05,0.05,0.9,0.0,0.05,0.05,0.375,0.525
C,C4.2,Answer questions,Answer programming questions,40,4.3,0.966,1,1,5,11,22,0.05,0.125,0.825,0.025,0.025,0.125,0.275,0.55
C,C4.3,Code examples,Provide examples of programming code,40,4.325,0.859,1,0,4,15,20,0.025,0.1,0.875,0.025,0.0,0.1,0.375,0.5
C,C4.4,Advice/resources,Offer learning advice and resources,40,4.25,0.954,1,1,5,13,20,0.05,0.125,0.825,0.025,0.025,0.125,0.325,0.5
C,C4.5,Explain concepts,Explain programming concepts,40,4.525,0.64,0,0,3,13,24,0.0,0.075,0.925,0.0,0.0,0.075,0.325,0.6
